feature,coef,abs_coef
LastPromotionMonthsAgo,-6.3602162445217045,6.3602162445217045
YearsAtCompany,0.8211580345024738,0.8211580345024738
Role_Senior Analyst,-0.47212864637429935,0.47212864637429935
Location_Clean_Delhi,-0.43962275020140484,0.43962275020140484
mgr_prom_rate,0.4371029110934841,0.4371029110934841
Role_Consultant,-0.3405058372504302,0.3405058372504302
Role_Analyst,-0.33625227490596277,0.33625227490596277
Gender_Female,-0.3332914619155808,0.3332914619155808
Role_Tech Lead,0.31508023906755783,0.31508023906755783
Department_QA,-0.2820166807393182,0.2820166807393182
Gender_Other,0.2647279296645311,0.2647279296645311
Gender_Male,-0.2598831050995391,0.2598831050995391
Department_Operations,-0.21504823838844425,0.21504823838844425
Role_Director,0.20535638455771657,0.20535638455771657
Location_Clean_Chennai,0.20178985983250122,0.20178985983250122
Role_VP,0.19107526409223585,0.19107526409223585
Location_Clean_Bengaluru,-0.15842526277488264,0.15842526277488264
SalaryDeptPct,-0.12721546036991732,0.12721546036991732
Role_Senior Manager,0.10985201109523653,0.10985201109523653
Department_R&D,0.10967959334858941,0.10967959334858941
Location_Clean_Kolkata,0.10694506900808863,0.10694506900808863
Department_Marketing,0.10314229466218575,0.10314229466218575
Location_Clean_Singapore,0.0936479422884075,0.0936479422884075
Department_Finance,-0.08670914275126815,0.08670914275126815
Department_Consulting,-0.08635783356437132,0.08635783356437132
Role_Senior Consultant,-0.08625335562446977,0.08625335562446977
Department_Delivery,0.08555720037608633,0.08555720037608633
Role_Manager,0.06975259048805546,0.06975259048805546
SalaryRolePct,0.06627355845239576,0.06627355845239576
Location_Clean_Hyderabad,-0.05933474765484068,0.05933474765484068
Location_Clean_Mumbai,-0.04662301890794318,0.04662301890794318
Location_Clean_UK,-0.04565347429277262,0.04565347429277262
TrainingHoursLastYear,0.04142252873170008,0.04142252873170008
Department_HR,0.0382247524276829,0.0382247524276829
Department_Sales,0.03662541696281765,0.03662541696281765
Location_Clean_Pune,0.034488628688396826,0.034488628688396826
Department_IT,-0.031543999684475806,0.031543999684475806
PerformanceRating,0.031537515959265607,0.031537515959265607
AnnualSalaryINR,-0.031417411168734644,0.031417411168734644
Age,-0.02989556629629217,0.02989556629629217
mgr_avg_perf,-0.02841281221524142,0.02841281221524142
mgr_team_size,-0.020891696622741835,0.020891696622741835
mgr_avg_engagement,-0.01798002884215444,0.01798002884215444
BonusPercent,-0.017659141355631028,0.017659141355631028
EngagementScore,-0.01710905002452192,0.01710905002452192
Location_Clean_UAE,-0.01565888333607891,0.01565888333607891
Role_Engineer,0.015576987503865903,0.015576987503865903
