tenure_bin,"(-0.091, 15.167]","(15.167, 30.333]","(30.333, 45.5]","(45.5, 60.667]","(60.667, 75.833]","(75.833, 91.0]"
"(0.0601, 3.4]",3.1182572614107884,3.1359375,3.2305825242718447,3.2288135593220337,3.2,2.0
"(3.4, 6.72]",3.282,3.2418096723868954,3.234718826405868,3.206896551724138,3.111111111111111,
"(6.72, 10.04]",3.2362525458248474,3.0861244019138754,3.1948356807511735,3.1120689655172415,3.9166666666666665,
"(10.04, 13.36]",3.1865509761388284,3.1699346405228757,3.125964010282776,3.2857142857142856,3.2666666666666666,
"(13.36, 16.68]",3.130784708249497,3.1414944356120826,3.1810344827586206,3.142857142857143,3.5454545454545454,4.0
"(16.68, 20.0]",3.1810526315789476,3.142857142857143,3.2060185185185186,3.3069306930693068,2.9285714285714284,
